"Condition","SI_pow","SI_force","Ft_mean","Fr_mean","Tot_power","Cadence","RF_norm","LF_norm","VO2_Normalized","Gross_Metabolic_Power","Normalized_Gross_Metabolic_Power","Net_Metabolic_Power","Normalized_Net_Metabolic_Power","RER","FE","efficiency","percents","pow_condition","SI_force_base"
"Noasym1p5",-15.207639090493,3.69949659781527,86.852765232423,-89.4998218269191,109.372187835942,70.2742679669869,134.61236022462,139.684973241125,25.19388899,606.8793406,8.657337241,475.9642561,6.789789673,0.770196937,49.2494987914168,22.979075935686,"No","1p5",0
"0%1p5",-20.8790025838572,1.24768557623423,75.5475898519929,-93.0064951510313,105.443054785383,77.9012783990979,132.760186314312,134.419500646235,24.52517432,592.9720208,8.458944662,462.0569363,6.591397094,0.786146251,44.8209782934881,22.8203596789904,"0%","1p5",-2.45181102158104
"10%1p5",10.5837272646742,12.3408783229705,85.6769982915044,-77.4922915516968,103.92528572228,67.7626984686144,124.960644283048,141.353354867914,23.58316855,570.2912454,8.135395797,439.3761609,6.267848229,0.786848779,52.5080414174974,23.652918608375,"10%","1p5",8.64138172515526
"20%1p5",30.312054421037,20.3007052431425,92.1632650443655,-69.9044863592343,105.531317432521,63.9942960048398,119.6454583131,146.678372637794,23.26855951,560.9863998,8.002659056,430.0713153,6.135111488,0.774150091,56.8671214638191,24.5380972127627,"20%","1p5",16.6012086453272
"30%1p5",54.1083713163996,31.0071131612764,78.2056210023282,-81.4683975251841,103.120046500122,73.621749171218,113.241752492459,154.810201352796,24.2455873,589.3204503,8.406853784,458.4053658,6.539306216,0.808860769,48.9783007426804,22.495383822604,"30%","1p5",27.3076165634612
"Noasym2p5",-4.10077458762991,6.51594241340664,125.476594935537,-118.005267709021,172.714837643801,76.6477772401613,157.872285687619,168.505448642102,34.35285446,847.7077934,12.09283585,716.7927088,10.22528829,0.874634889,51.5342677161589,24.0955070445606,"No","2p5",0
"0%2p5",-0.0453060025506895,4.79370737412082,142.239557342722,-82.3742823793782,173.284397483211,68.375098003636,162.726213202774,170.824262199314,33.94753708,833.3380361,11.88784645,702.4229516,10.02029888,0.851682104,63.3262658786767,24.6695238372405,"0%","2p5",-1.72223503928582
"10%2p5",13.3500720080338,14.8431623780416,152.373368533152,-74.3778246230058,173.501056916108,63.6099959808154,152.697189932504,177.290210228618,33.43583066,818.8624138,11.68134684,687.9473293,9.813799276,0.841598414,67.1984858876648,25.2201076342064,"10%","2p5",8.32721996463494
"20%2p5",26.8357820497241,25.4001623203936,159.50701455303,-65.3333784551664,174.983196568918,61.3938198140889,145.166072976344,187.258071619791,33.93980318,833.0921088,11.88433821,702.1770243,10.01679065,0.851211314,70.9423304322436,24.9200971426484,"20%","2p5",18.884219906987
"30%2p5",9.63929714864458,14.8664124410044,148.865469613843,-85.3567089498923,174.008762414041,66.13211372738,154.447357917677,179.483954778251,33.54238795,822.7159098,11.73631826,691.8008253,9.868770688,0.847878682,63.5573755340742,25.1530145744741,"30%","2p5",8.35047002759772
